No,Year,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth,Type,Dataset
1,1969,324,22,17,0,-3.94,-21.2,0,0,Artificial-Impact-Apollo-12-Lunar-Module,Gagnepain-Beyneix
2,1970,105,2,9,41,-2.75,-27.86,0,0,Artificial-Impact-Apollo-13-Saturn-IVB,Lognonne-2003
3,1971,35,7,40,55,-8.09,-26.02,0,0,Artificial-Impact-Apollo-14-Saturn-IVB,Nakamura-1983-AI
4,1971,38,0,45,27,-3.42,-19.67,0,0,Artificial-Impact-Apollo-14-Lunar-Module,Nakamura-1983-AI
5,1971,107,7,0,55,48,35,2.8,0,Shallow-Moonquake,Nakamura-1979-SM
6,1971,140,17,25,10,42,-24,2,0,Shallow-Moonquake,Nakamura-1979-SM
7,1971,192,13,24,45,43,-47,1.9,0,Shallow-Moonquake,Nakamura-1979-SM
8,1971,210,20,58,43,-1.51,-11.81,0,0,Artificial-Impact-Apollo-15-Saturn-IVB,Nakamura-1983-AI
9,1971,215,3,3,37,26.36,0.25,0,0,Artificial-Impact-Apollo-15-Lunar-Module,Nakamura-1983-AI
10,1972,2,22,29,40,54,101,1.9,0,Shallow-Moonquake,Nakamura-1979-SM
11,1972,4,6,31,20,74.1,2.6,0,0,Natural-Impacts,Lognonne-2003
12,1972,4,6,31,20,70.76,2.71,0,0,Shallow-Moonquake,Gagnepain-Beyneix
13,1972,110,21,2,4,1.3,-23.8,0,0,Artificial-Impact-Apollo-16-Saturn-IVB,Lognonne-2003
14,1972,134,8,46,40,1.2,-16.49,0,0,Natural-Impacts,Gagnepain-Beyneix
15,1972,136,17,18,7,21.7,-41,0,1055,Deep-Moonquake-20,Lognonne-2003
16,1972,138,0,42,46,11.8,-34.3,0,921,Deep-Moonquake-30,Lognonne-2003
17,1972,160,16,16,25,13.9,-26.8,0,953,Deep-Moonquake-41,Lognonne-2003
18,1972,166,18,34,27,7,-9.3,0,932,Deep-Moonquake-34,Lognonne-2003
19,1972,199,21,50,58,32.8,137.6,0,0,Natural-Impacts,Lognonne-2003
20,1972,213,18,8,16,24,10.1,0,0,Natural-Impacts,Lognonne-2003
21,1972,242,22,58,34,15.19,20.57,0,0,Natural-Impacts,Gagnepain-Beyneix
22,1972,261,14,35,55,12,46,1,10,Shallow-Moonquake,Nakamura-1979-SM
23,1972,282,52,4,35,6.8,5.1,0,1105,Deep-Moonquake-16,Lognonne-2003
24,1972,284,19,35,47,6.9,117.8,0,887,Deep-Moonquake-33,Lognonne-2003
25,1972,312,8,52,8,23.1,-18,0,861,Deep-Moonquake-17,Lognonne-2003
26,1972,341,23,8,20,51,45,1.4,10,Shallow-Moonquake,Nakamura-1979-SM
27,1972,344,3,50,15,-20,-80,1.2,0,Shallow-Moonquake,Nakamura-1979-SM
28,1972,345,20,32,42,-4.21,-12.31,0,0,Artificial-Impact-Apollo-17-Saturn-IVB,Nakamura-1983-AI
29,1972,350,6,50,21,19.99,30.51,0,0,Artificial-Impact-Apollo-17-Lunar-Module,Nakamura-1983-AI
30,1973,5,22,50,31,17.54,31.01,0,860,Deep-Moonquake-18,Gagnepain-Beyneix
31,1973,39,22,52,10,33,35,0.8,0,Shallow-Moonquake,Nakamura-1979-SM
32,1973,72,7,56,30,-84,-134,3.2,0,Shallow-Moonquake,Nakamura-1979-SM
33,1973,120,1,5,26,9.36,-47.41,0,843,Deep-Moonquake-50,Gagnepain-Beyneix
34,1973,123,1,52,36,12.7,-23.1,0,911,Deep-Moonquake-42,Gagnepain-Beyneix
